,uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,subsampleCode,individualID,sampleCondition,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,nativeStatusCode,totalLength,identifiedBy,recordedBy,remarks,identificationHistoryID,publicationDate,release
113,cde5f5f3-43db-411e-8f76-ed72fbe06f59,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,E,2017-04-04,2017-04-18,2017-06-12,2017-06-07,R/Uzrc0qCNSr9Z9W/FZK0yfYrbKp+iPLUp6F5dO4wwE=,NA,NEON.BET.D07.001590,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,tspindler@battelleecology.org,NA,NA,20241118T055935Z,RELEASE-2025
139,eb31386b-d859-45a7-b207-fc4bd77edaa5,GRSM_006.basePlot.bet,D07,GRSM,GRSM_006,S,2017-04-18,2017-05-02,2017-08-08,2017-06-08,lkd2xjHtfy4aQ+vwVEzx9VOtsetpppeA55g/by4rqEQ=,NA,NEON.BET.D07.001815,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
153,bc1c87d4-686b-4e77-a10a-50d4744ddd47,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,S,2017-04-18,2017-05-02,2017-08-08,2017-06-07,R/Uzrc0qCNSJPZmPGqAKlbRS7gCDBmsC2cx4HmEES7Q=,NA,NEON.BET.D07.001825,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
159,3bee28f5-0d3c-4a6e-ab51-06be4e59a66f,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,W,2017-04-18,2017-05-02,2017-08-08,2017-06-08,R/Uzrc0qCNSLlk/RZEYeKKUVTlw4hw1HFZsIDqUChwo=,NA,NEON.BET.D07.001811,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
163,20f4fab0-1a62-4f9e-a69c-0395f61e8c6b,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,N,2017-04-18,2017-05-02,2017-08-08,2017-06-08,R/Uzrc0qCNRrcsY6UMTibuzns2d+hTqxdQO0TTJ8EpM=,NA,NEON.BET.D07.001812,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
169,b4c3d08a-8e01-464d-9e20-02760964d7ca,GRSM_022.basePlot.bet,D07,GRSM,GRSM_022,N,2017-04-18,2017-05-02,2017-08-08,2017-06-08,sIM4Q51U9Pgfgw7P5XSsftiPAccOxJKEvw2MVBMqdaE=,NA,NEON.BET.D07.001877,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
173,5ef770a8-8c36-4e9f-a701-72371b6505c0,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,W,2017-04-18,2017-05-02,2017-08-08,2017-06-08,R/Uzrc0qCNSLlk/RZEYeKKUVTlw4hw1HFZsIDqUChwo=,NA,NEON.BET.D07.001880,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
174,88b25445-0fae-434d-8a46-3b79dce0874c,GRSM_014.basePlot.bet,D07,GRSM,GRSM_014,E,2017-04-18,2017-05-02,2017-08-08,2017-06-08,oYrZWOmGwleKuaANMz9AonDsTA1Qg15QTIPVbwHZRS4=,NA,NEON.BET.D07.001878,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
175,d283fc10-f044-41ee-8e6d-dea291114118,GRSM_024.basePlot.bet,D07,GRSM,GRSM_024,E,2017-04-18,2017-05-02,2017-08-08,2017-06-08,GWKtAT/+4iQBKhOmZaBF71RAH6wDzpF65Mg9AnxTPrg=,NA,NEON.BET.D07.001814,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,lopie@battelleecology.org,Missing tarsi of right hind leg,NA,20241118T183747Z,RELEASE-2025
178,4bb4d0c7-6a07-49f5-bb29-0af977163755,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,W,2017-05-02,2017-05-16,2017-08-31,2017-06-09,R/Uzrc0qCNSLlk/RZEYeKBcWfoI3wAGp/lq25vpUlQE=,NA,NEON.BET.D07.002005,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,sthomason@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
179,0ca72fee-234b-42d4-bee6-37e9ed1af31d,GRSM_021.basePlot.bet,D07,GRSM,GRSM_021,N,2017-05-02,2017-05-16,2017-08-14,2017-06-09,R/Uzrc0qCNRrcsY6UMTibqszp0wArtvlivL8HzkjhFg=,NA,NEON.BET.D07.001845,NA,PASPUN,Pasimachus punctulatus,species,NA,Haldeman,NA,NA,N,NA,NA,tspindler@battelleecology.org,NA,NA,20241118T183747Z,RELEASE-2025
